edges_traj;traj_occ_list;traj_alt_occ_list;traj_supp;traj_freq;traj_exp_ind;traj_var_ind;t_stat_ind;t_stat_norm_ind;pval_ind;traj_exp_perm;traj_var_perm;t_stat_perm;t_stat_norm_perm;pval_perm;traj_exp_topol;traj_var_topol;t_stat_topol;t_stat_norm_topol;pval_topol
[GL->-TP53,g->-GL,g->-TP53];[18, 22, 23, 26, 27, 45, 52, 61, 63, 65, 70, 71, 72, 75, 76, 78, 80, 82, 83];[18, 22, 23, 26, 27, 45, 52, 61, 63, 65, 70, 71, 72, 75, 76, 78, 80, 82, 83];19;0.2261904761904762;0.03808619479537847;0.00037403620427122093;0.18810428139509772;9.726170085307496;1.3552072309174242e-15;0.05005668934240363;0.0004534070808973628;0.17613378684807257;8.271771393267088;1.673792469872807e-13;
[GL->-KRAS,g->-GL,g->-KRAS];[16, 22, 27, 33, 34, 36, 37, 39, 41, 44, 45, 46, 51, 53, 79];[16, 22, 27, 33, 34, 36, 37, 39, 41, 44, 45, 46, 51, 53, 79];15;0.17857142857142858;0.0318942338840298;0.00030835126463790404;0.14667719468739876;8.352947046206532;4.1520514455782324e-12;0.046938775510204075;0.0003796932605241643;0.1316326530612245;6.755339659832921;5.166997354497358e-10;
[GL->-EGFR,g->-GL,g->-EGFR];[6, 9, 11, 17, 18, 23, 25, 38, 45, 48, 52, 61];[6, 9, 11, 17, 18, 23, 25, 38, 45, 48, 52, 61];12;0.14285714285714285;0.027836694201490122;0.0002637562719340324;0.11502044865565272;7.082289242486747;2.2144274376417233e-09;0.04316893424036281;0.0003313892166844063;0.09968820861678004;5.476140795318226;2.0667989417989424e-07;
[EGFR->-TP53,TP53->-EGFR,g->-EGFR,g->-TP53];[0, 3, 18, 19, 21, 23, 45, 47, 52, 61, 66];[0, 3, 14, 18, 19, 21, 23, 45, 47, 52, 61, 66];11;0.13095238095238096;0.0533985260770975;0.00035890218912532497;0.07755385487528346;4.093693618823549;6.562243509648754e-05;0.06706349206349206;0.00037357441086789976;0.0638888888888889;3.305497059303949;0.0008518820861678003;
[EGFR->-TP53,TP53->-EGFR,GL->-EGFR,GL->-TP53,g->-EGFR,g->-TP53,g->-GL];[18, 23, 45, 52, 61];[18, 23, 45, 52, 61];5;0.05952380952380952;0.005311074089499746;5.753798087981104e-05;0.054212735434309774;7.147003790245463;5.5285606306014455e-06;0.012414965986394556;0.0001138832328093747;0.047108843537414964;4.41440880613201;0.0003174603174603174;
[GL->-PIK3CA,g->-GL,g->-PIK3CA];[6, 33, 61, 64, 65, 71, 73, 76];[6, 33, 61, 64, 65, 71, 73, 76];8;0.09523809523809523;0.014244816974408811;0.000143536600095494;0.08099327826368642;6.760326170909209;2.259619834328289e-07;0.017687074829931974;0.00016958115445724775;0.07755102040816325;5.955232517503486;1.1810279667422527e-06;
[PIK3CA->-TP53,TP53->-PIK3CA,g->-PIK3CA,g->-TP53];[55, 57, 61, 62, 65, 71, 76];[55, 57, 61, 62, 65, 71, 76];7;0.08333333333333333;0.04304826692581795;0.00023385287064574134;0.04028506640751538;2.6343454888988247;0.007555430890945856;0.051360544217687085;0.00021526524441976334;0.031972789115646244;2.1791823105963832;0.02591512795594429;
[PIK3CA->-SOX2,SOX2->-PIK3CA,g->-PIK3CA,g->-SOX2];[55, 57, 60, 61, 62, 64, 65];[55, 57, 60, 61, 62, 64, 65];7;0.08333333333333333;0.04179826692581795;0.00023169513255050326;0.04153506640751538;2.728704166681597;0.005902680383551451;0.0501700680272109;0.00021668247797985404;0.03316326530612243;2.2529180188269295;0.021595939963286907;
[KRAS->-TP53,TP53->-KRAS,g->-KRAS,g->-TP53];[13, 22, 24, 27, 45, 47];[13, 15, 20, 22, 24, 27, 45, 47, 58];6;0.07142857142857142;0.044345508044487635;0.0002810830161415077;0.02708306338408379;1.6154015066899836;0.10314911095973214;0.055725623582766434;0.0002860722898380819;0.01570294784580499;0.9284174447202718;0.2833697824808937;
[GL->-KEAP1,g->-GL,g->-KEAP1];[30, 33, 43, 63, 73, 82];[30, 33, 43, 63, 73, 82];6;0.07142857142857142;0.013640873015873014;0.0001307127306941295;0.05778769841269841;5.0544796671746886;4.521122685185184e-05;0.018849206349206348;0.00016239134542705974;0.05257936507936507;4.126044404056071;0.00028935185185185184;
[SOX2->-TP53,TP53->-SOX2,g->-SOX2,g->-TP53];[55, 57, 59, 61, 62, 65];[55, 57, 59, 61, 62, 65];6;0.07142857142857142;0.034688478566029586;0.00019497937886219668;0.03674009286254184;2.631151822319483;0.00944428861368232;0.04104308390022676;0.00018377116530663662;0.030385487528344662;2.2414420971495312;0.02591512795594429;
[SOX2->-TP53,SOX2->-PIK3CA,TP53->-SOX2,TP53->-PIK3CA,PIK3CA->-SOX2,PIK3CA->-TP53,g->-SOX2,g->-TP53,g->-PIK3CA];[55, 57, 61, 62, 65];[55, 57, 61, 62, 65];5;0.05952380952380952;0.0157766054267512;0.00013055867178412713;0.04374720409705832;3.8286656392961196;0.0006608248592664013;0.02687074829931973;0.00015462307371928363;0.03265306122448979;2.625951807559098;0.00932944606413994;
[GL->-TERT,g->-GL,g->-TERT];[9, 33, 38, 51, 77];[9, 33, 38, 51, 77];5;0.05952380952380952;0.010416666666666666;0.0001015766067229361;0.049107142857142856;4.872454771737152;0.00015070408950617283;0.01388888888888889;0.0001240079365079365;0.04563492063492063;4.09800570932384;0.0005787037037037038;
[CDKN2A->-TP53,TP53->-CDKN2A,g->-CDKN2A,g->-TP53];[18, 57, 67, 75, 83];[18, 20, 57, 67, 75, 83];5;0.05952380952380952;0.03334021703919664;0.00019671807675011323;0.026183592484612883;1.8668400018830154;0.07168052406147643;0.04064625850340137;0.00018907052616965153;0.018877551020408154;1.3728836606439552;0.17312169312169318;
[GL->-STK11,g->-GL,g->-STK11];[44, 46, 54, 82, 83];[44, 46, 54, 82, 83];5;0.05952380952380952;0.010802964042759962;0.00010403099872289606;0.04872084548104956;4.7767601195931535;0.00017219387755102039;0.01598639455782313;0.00012860671479476146;0.04353741496598639;3.83911230790633;0.0008928571428571428;
